id;Families;prod;ag;arq
1;696F2I324;7143.4;NA;NA
1;696F2I325;6185.7;NA;NA
1;696F2I327;6153.3;NA;NA
1;696F2I330;5306;NA;NA
1;696F2I332;4457.7;NA;NA
1;696F2I333;5738.2;NA;NA
1;696F2I334;6216.9;NA;NA
1;696F2I335;7580.5;NA;NA
1;696F2I337;5496.9;NA;NA
1;696F2I340;5926.2;NA;NA
1;697F2I43;5792.5;NA;NA
1;697F2I44;5298.1;NA;NA
1;697F2I46;6029.4;NA;NA
1;697F2I48;5983.6;NA;NA
1;697F2I50;6049.8;NA;NA
1;697F2I51;5423.9;NA;NA
1;697F2I52;4332;NA;NA
1;697F2I56;5938.7;NA;NA
1;698F2I229;6549.4;NA;NA
1;698F2I230;5144.7;NA;NA
1;698F2I232;5486;NA;NA
1;699F2I134;6175.5;NA;NA
1;699F2I138;5448.5;NA;NA
1;699F2I143;7081.6;NA;NA
1;700F2I290;5543;NA;NA
1;700F2I292;4877;NA;NA
1;700F2I295;4568.3;NA;NA
1;700F2I296;5857.1;NA;NA
1;700F2I302;7161.1;NA;NA
1;700F2I304;6907.8;NA;NA
1;701F2I79;6504.6;NA;NA
1;701F2I83;5289.9;NA;NA
1;701F2I85;5675.9;NA;NA
1;701F2I86;5216;NA;NA
1;701F2I87;4555.4;NA;NA
1;701F2I95;4241.4;NA;NA
1;702F2I116;4638.3;NA;NA
1;702F2I119;6341.1;NA;NA
1;702F2I120;7228.1;NA;NA
1;702F2I121;6348;NA;NA
1;702F2I123;4338.6;NA;NA
1;702F2I124;5255.7;NA;NA
1;702F2I131;5136.8;NA;NA
1;702F2I132;7369.1;NA;NA
1;703F2I20;5882.7;NA;NA
1;703F2I22;5173.9;NA;NA
1;703F2I23;6752.3;NA;NA
1;703F2I26;5262.2;NA;NA
1;703F2I27;5371.2;NA;NA
1;703F2I28;5661.6;NA;NA
1;703F2I29;5103.5;NA;NA
1;703F2I30;6606.4;NA;NA
1;703F2I31;6833.9;NA;NA
1;703F2I32;5614;NA;NA
1;703F2I33;6097.1;NA;NA
1;703F2I34;7996.9;NA;NA
1;703F2I35;5193.4;NA;NA
1;703F2I36;7211.4;NA;NA
1;703F2I38;6235.5;NA;NA
1;704F2I271;6009.5;NA;NA
1;705F2I184;4354.3;NA;NA
1;706F2I249;5208.1;NA;NA
1;706F2I251;6838.7;NA;NA
1;706F2I252;6151.4;NA;NA
1;706F2I253;5357.3;NA;NA
1;706F2I256;6250.8;NA;NA
1;706F2I257;5256.3;NA;NA
1;706F2I258;6214.9;NA;NA
1;706F2I259;4938;NA;NA
1;706F2I261;6047.2;NA;NA
1;706F2I263;6049.4;NA;NA
1;706F2I264;6109.7;NA;NA
1;706F2I266;6885.2;NA;NA
1;707F2I1;4607.5;NA;NA
1;707F2I10;5218.8;NA;NA
1;707F2I14;4374.4;NA;NA
1;707F2I15;4634.6;NA;NA
1;707F2I16;5708.1;NA;NA
1;707F2I18;4630.5;NA;NA
1;707F2I19;6943.4;NA;NA
1;707F2I2;6493.5;NA;NA
1;707F2I3;5196.5;NA;NA
1;707F2I5;5680.2;NA;NA
1;707F2I7;5761.1;NA;NA
1;708F2I347;4550.3;NA;NA
1;708F2I349;6688.8;NA;NA
1;708F2I353;5949.1;NA;NA
1;708F2I355;5800.5;NA;NA
1;708F2I356;6566.4;NA;NA
1;708F2I359;5227.3;NA;NA
1;709F2I208;5652.3;NA;NA
1;710F2I305;4937;NA;NA
1;710F2I306;6301.8;NA;NA
1;710F2I316;6440;NA;NA
